hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
81,0,67,126.96339331389936,-4.129901839718514,124.37908935546874,126.9685,-4.664378,124.37909,7.221807479858398,0.03119758330285549,335544323,0.5345007050846449,20.0,127.0,0.0,135.45,[20],415.0,600.0,436.80392641125945,600.5357325559743
82,0,10,116.39283193723168,50.97308360313036,124.63723754882814,116.45502,50.811195,124.63724,7.2088117599487305,-0.4141017198562622,335560707,0.17342085251450323,84.0,114.423046224,55.1032348679,135.45,[84],430.0,683.0,436.7939494092144,680.7914285292668
83,0,16,127.0535679123742,-2.0563688955808175,124.41691589355469,126.9685,-1.8709205,124.416916,7.221865653991699,0.014864000491797924,335544323,0.20402927206001673,20.0,127.0,0.0,135.45,[20],527.0,600.0,519.7452441767673,604.1427164949681
84,0,808,41.94495495323645,-120.63700709432305,126.85784149169922,41.270077,-120.8141,126.85784,7.119184970855713,1.234830379486084,335724547,0.6977272058161138,724.0,28.2601586125,-123.815844847,135.45,"[724, 756]",722.0,1122.0,729.1535101070781,1149.391853629458
85,0,395,-113.73996249867196,56.306064082469675,129.3693389892578,-113.98332,55.943737,129.36934,6.936863422393799,-2.683291435241699,335642627,0.4364685666661242,404.0,-114.423046224,55.1032348679,135.45,[404],635.0,619.0,650.1131685827869,629.3233490131217
86,0,325,-126.94055927272075,-8.758631922319182,129.9788055419922,-126.9685,-7.7793736,129.9788,6.9222025871276855,3.0713253021240234,335659011,0.9796567549394078,468.0,-127.0,1.55530143492e-14,135.45,[468],290.0,603.0,251.6547231072321,604.3776290911705
87,0,284,-102.14061357693572,79.70440054103528,131.76699829101562,-102.99614,78.498276,131.767,6.952573299407959,-2.4803526401519775,335634435,1.47873650296817,372.0,-101.24717697999999,80.7419293407,135.45,[372],512.0,532.0,560.4988480134114,566.2625361225707
87,1,931,-128.28851146409215,71.81839924374799,149.79379272460938,-111.4052,61.297268,149.7938,6.940284729003906,-2.6328306198120117,335642627,19.893227664401078,404.0,-114.423046224,55.1032348679,135.45,[404],849.0,722.0,1270.6065750339194,47.38139039631392
87,2,447,-125.71481997276351,92.93552874342276,159.05467224121094,-104.27987,76.888535,159.05467,6.950247764587402,-2.5066897869110107,352411651,26.776167436138913,373.0,-101.24717697999999,80.7419293407,165.55,[373],447.0,480.0,1089.7439761089106,-376.70571971054073
87,3,875,-146.56308561924743,86.7233261771471,173.46499633789062,-109.811264,64.6071,173.465,6.942004680633545,-2.609128475189209,352419843,42.89316712646105,405.0,-114.423046224,55.1032348679,165.55,[405],982.0,786.0,1866.8036523698838,-683.6015758098972
87,4,61,-143.77678819200446,103.09293333600363,180.0261688232422,-104.41537,76.71862,180.02617,6.948982238769531,-2.521434783935547,352411651,47.38064854351788,373.0,-101.24717697999999,80.7419293407,165.55,[373],441.0,475.0,1496.040159812145,-1099.1844484801788
87,5,875,-159.1482852744739,94.20414638252987,188.3778839111328,-109.242065,65.789055,188.37788,6.942004680633545,-2.609128475189209,369197059,57.42863575627746,406.0,-114.423046224,55.1032348679,195.65,"[374, 406]",1029.0,809.0,2166.0364605851946,-1187.0095620189556
87,6,253,-154.1509895817835,105.74688112725562,190.2678985595703,-106.08485,74.62516,190.2679,6.947232723236084,-2.5423457622528076,369188867,57.26181645289603,374.0,-101.24717697999999,80.7419293407,195.65,[374],357.0,408.0,1602.1980714622248,-1514.1525040713407
87,7,484,-159.13691019122052,101.90505828173627,192.40797424316406,-109.312965,70.57723,192.40797,6.944680213928223,-2.574064254760742,369188867,58.854550819622254,374.0,-101.24717697999999,80.7419293407,195.65,[374],195.0,279.0,1448.525157641451,-1713.5893284488213
88,0,636,126.99384137353411,0.9049608016866841,124.34510803222656,126.9685,0.71417296,124.34511,7.221877574920654,-0.008444779552519321,335544323,0.1924636997388804,20.0,127.0,0.0,135.45,[20],630.0,600.0,638.1984320674674,601.7536549413643
89,0,956,-53.91062072185014,-117.72737896183025,130.65618896484375,-53.93953,-117.72329,130.65619,7.007627964019775,1.9988374710083008,335699971,0.029196516053593646,628.0,-56.1879442157,-116.675468393,135.45,[628],560.0,691.0,559.9235772467898,693.0929397539944
90,0,27,114.29167226772552,54.847381174397015,124.38709259033205,114.18089,55.533474,124.38709,7.206574440002441,-0.4487495422363281,335560707,0.6949786907659361,84.0,114.423046224,55.1032348679,135.45,[84],619.0,592.0,591.7658522598805,596.7450417490204
91,0,872,13.206999101465044,129.4451145004432,129.8701171875,13.516483,129.4685,129.87012,7.0845184326171875,-1.4704978466033936,335601667,0.3103669265191652,244.0,7.92958802448e-15,129.5,135.45,"[212, 244]",600.0,1142.0,599.8045800177277,1130.2799640586015
